期号,日期,标题,主播,嘉宾,主题,关键词,文件名
第1期,2022-02-28,俄乌冲突、冬奥会和编程机器人,李俊、王老师、老庄,,这一期我们聊了近期举世瞩目的冬奥会和俄乌冲突，还说了说 DeepMind 最新的编程机器人。,人工智能；软件开发；国际政治；航天与军事,TmdkaxUwUtXkwFjs.mp3.srt
第2期,2022-03-06,元宇宙,李俊、王老师、老庄,,这期我们来聊聊“元宇宙”。,综合话题,uEBAKXcegqVTBkUv.mp3.srt
第3期,2022-03-14,健康码崩了背后 & 考研上岸了吗,李俊、王老师、老庄,,这波疫情有点猛，三人各自宅家通过网络录制，聊了下公共服务软件平台背后的技术挑战，还给考研学子们支了支招。,软件开发；互联网与平台；教育与学习；社会生活,AkVcyggTKMGWQMGu.mp3.srt
第4期,2022-03-21,用盗版对抗卡脖子？,李俊、王老师、老庄,,继续远程录制……这期我们聊了聊正版、盗版软件和软件行业发展的事儿，还点评了几条一周趣闻。,软件开发,CNMZTReHZCHsVDPR.mp3.srt
番外01,2022-03-21,node-ipc 开源供应链投毒事件,李俊、王老师、老庄,Hax,node-ipc 供应链投毒事件是近期开源软件领域的一件大事，可能影响会很深远，这次请到深度关注此事的老朋友 Hax 和我们一起聊聊。,开源；软件开发,dwdeRnFLXqRTscbX.mp3.srt
第5期,2022-03-28,后真相时代生存指南,李俊、王老师、老庄,,这一期我们聊了聊“后真相时代”，以及如何更好地面对它。我们认为真相是美好的，值得我们付出代价去追求。从本节目开始做起，我们接受“事实核查”的委托，并愿意分享传播各种正本清源的成果。,媒体与信息；节目与社群,BqcVUwzbBZSSCdCS.mp3.srt
番外02,2022-04-01,游戏漫谈 – 从老头环说开去,李俊、王老师、老庄,Thomas,这期番外我们请了老朋友 Thomas 一起来聊游戏。,游戏与文娱,pie-epx02.mp3.srt
第6期,2022-04-04,新鲜出炉的图灵奖得主,李俊、王老师、老庄,,这期身处疫情中心瑟瑟发抖的我们仨给大家聊了聊新鲜出炉的图灵奖得主以及超算，还有应该怎么看待软件安全的事儿。,软件开发；数据与科学；社会生活,PNEusXTVZkzHTvSn.mp3.srt
第7期,2022-04-11,在线教育到底走到哪一步了,李俊、王老师、老庄,,这期我们聊了聊这些年在线教育的发展和未来方向，还讲了个“软件伦理”的概念。,软件开发；教育与学习；社会生活,ssRPrAgBmdcDpwbY.mp3.srt
第8期,2022-04-18,如何在互联网大厂往上爬,李俊、王老师、老庄,,这一期我们聊了互联网大厂里晋升通道的那些事儿，还有程序画鱼带来的商业机遇和法律挑战。,互联网与平台；法律与治理,GqBFcnscXdHhGfEG.mp3.srt
番外03,2022-04-22,互联网化石级考古和怀旧,李俊、王老师、老庄,霍炬,这一期我们请来了霍炬，几个互联网“化石”一起来考古和怀旧。,互联网与平台；历史与文化,CPndrMPfPdgggRtj.mp3.srt
第9期,2022-04-25,用技术的浪漫迎接混沌的未来,李俊、王老师、老庄,,这期继续和霍炬一起，聊聊互联网基础架构的演进历史和未来，给大家讲讲为什么我们都应该关注这个问题。这也是我们节目的一个“主线话题”，未来还会经常聊起。,互联网与平台；历史与文化；社会生活；节目与社群,AkWKnYfCgSLeQpmX.mp3.srt
第10期,2022-05-02,马老板买小蓝鸟到底想干啥,李俊、王老师、老庄,,这一期我们重点聊了下小蓝鸟和邪恶大魔王的故事，以及背后的人类难题，还接着之前的话题说了说给AI创作平权的尝试。,人工智能；互联网与平台,aeadWCYhPQtvfnZR.mp3.srt
第11期,2022-05-09,互联网社区的前世今生,李俊、王老师、老庄,,这期我们从思否（segmentfault.com）被收购开始，聊了聊互联网社区的前世今生，还给想自己赚钱的程序员支了点招。,软件开发；互联网与平台；经济与产业,yhaadBvkWCQaDzVN.mp3.srt
番外04,2022-05-11,关于用户IP属地显示的辩论会,李俊、王老师、老庄,高春辉,这期我们请来专精IP数据库多年的老朋友高春辉，一起聊聊显示IP属地的话题，最后不当心弄成辩论会了……,互联网与平台；数据与科学,bqTBkNKuhcDJmXDg.mp3.srt
第12期,2022-05-16,数据科学到底是个啥,李俊、王老师、老庄,,这期聊了聊数据科学到底是什么、有什么用，以及最近的知网垄断案。,法律与治理；数据与科学,rXfgWYLvHnuzFRxD.mp3.srt
第13期,2022-05-23,编程夏令营和程序员的元宇宙,李俊、王老师、老庄,,这期我们聊了将要复苏的上海、近期码云的风波、Google Summer of Code 2022，还有为什么分享自己的程序是一种人性层面的需求。,软件开发；互联网与平台；教育与学习,EeMDJXFnxxyBEPpQ.mp3.srt
番外05,2022-05-26,科技开放和真·全球化的开端,李俊、王老师、老庄,李大维（David）,这期番外篇我们找来另一位老朋友李大维，和我们讲讲智能硬件、创客文化和科技开放普惠带来的新全球化格局，“在这个科技开放的时代，不要让富裕限制了你的想象力！”,国际政治；历史与文化,kYsTsEdETWLpVLEG.mp3.srt
第14期,2022-05-30,少儿编程很重要但可能和你想的不同,李俊、王老师、老庄,,今天我们主要和大家谈谈少儿编程，这是个重要的话题，但可能和你平时看到听到的“少儿编程”不大一样；另外还顺便聊了聊个人隐私保护、人教版教材迷案、美中科技竞争和小马哥发的那条朋友圈。,软件开发；教育与学习,yJzqdgjXKVBNdpuy.mp3.srt
第15期,2022-06-06,Kindle 中文书店要关啦,李俊、王老师、老庄,,这期我们主要聊了 Kindle 中文书店将要下线引发的思考，以及我们六月份的荐书。今天你读书了吗？,历史与文化,csQJFJkmxaaYpsvH.mp3.srt
番外06,2022-06-10,两代人看科技变迁 之 远程协同,李俊、王老师、老庄,小白、小雅,和“编码人声”的小白、“CHAOSScast China”的小雅的串台企划——“两代人看科技变迁”的第一弹，三位70后和两位90后聊协同工具以及更自由的人生。 大家可以在各播客/音频平台关注“编码人声”和“CHAOSScast China”，收听“两代人看科技变迁”续集~,互联网与平台；社会生活,znXGBSpdBaggyykS.mp3.srt
第16期,2022-06-13,后互联网时代的今日说法,李俊、王老师、老庄,,各位好，欢迎走进今日说法，今天我们要关注三个来自高科技领域的案件，情节新颖发人深省，和我们一起的是一位长期从事科技领域法律工作的专家……,互联网与平台；法律与治理；社会生活,rppZXYFeZBFgnvfB.mp3.srt
第17期,2022-06-20,仿生人会梦见电子羊吗,李俊、王老师、老庄,,这期我们聊了河南红码事件、Google 据说要变人的聊天 AI 以及维基百科上的架空历史。,人工智能；互联网与平台；历史与文化,MXngsTMySUHtNpSv.mp3.srt
第18期,2022-06-27,Copilot 对程序员是福还是祸,李俊、王老师、老庄,,这期我们重点聊了 GitHub 的 AI 编程助理 Copilot，即将正式商用的 Copilot 对企业、个人开发者、非开发者和教育工作者分别意味着什么；后面还借日本某市市民信息的访问密码竞猜活动（雾）谈了谈密码管理的那些事。,人工智能；开源；软件开发；教育与学习；媒体与信息；社会生活,BFWWQGrnzMEMVDFW.mp3.srt
第19期,2022-07-04,寄语2022级的同学们,李俊、王老师、老庄,,这期我们继续聊了GitHub Copilot商用的影响、蔚来汽车近期的事故，还给今年将要迈入大学生活的同学们提了一些人生建议。,人工智能；开源；教育与学习；社会生活,gXvfvYmYPkAzCvpa.mp3.srt
第20期,2022-07-11,主播真是越来越不好当了,李俊、王老师、老庄,,本期我们重点聊了虚拟经济快速发展留下的一些坑，还有7月的荐书。,经济与产业；节目与社群,GdWgfPhHEddwNgdJ.mp3.srt
番外07,2022-07-15,那些躺平赚钱不鸟资本的牛B项目,李俊、王老师、老庄,李大维（David）,David（李大维）又来啦，这次我们来聊聊那些躺平赚钱不鸟资本的牛B项目。,经济与产业,EsCMMHqeRUqrWTKk.mp3.srt
第21期,2022-07-18,那些你容易错过的五星技能,李俊、王老师、老庄,狗叔（Googol Lee）,这期我们请老朋友狗叔（Googol Lee）一起聊聊那些你成长期容易错过的五星技能，还顺便聊了聊WPS那事儿。,社会生活,LmyNYdgxSuzhGKcS.mp3.srt
第22期,2022-07-25,马斯克的大脑、NFT和滴滴罚单,李俊、王老师、老庄,,这期聊了近期的三个热门新闻：马斯克的大脑、NFT和滴滴罚单，大家可以继续提升吃瓜的专业姿势。,法律与治理；媒体与信息,sQTfUKuVLRCVNRAv.mp3.srt
第23期,2022-07-31,从二舅看新时代网络文化创作,李俊、王老师、老庄,,这期我们聊了直播中使用版权音乐付酬的行业标准草案，以及快速走红的二舅背后的一些有意思的现象及逻辑，最后还示范了一下程序员最爱的话题……,软件开发；法律与治理；媒体与信息；历史与文化,QjexLkankZCqkUbM.mp3.srt
第24期,2022-08-08,要不学点国际法吧,李俊、王老师、老庄,,这期我们聊了近期台海形势背后的国际法基础，Oracle 为代表的传统软件服务厂商的衰落，还有8月新的荐书。,软件开发；国际政治,wPPuLtfxTHhZwCTA.mp3.srt
第25期,2022-08-14,芯片战争真要来了？,李俊、王老师、老庄,,这次我们聊了彭城龙漕沟山洪灾害和朱军案背后的网络信息逻辑、即将升级的芯片战争和中国企业软件服务的机会。,软件开发；国际政治；经济与产业；媒体与信息；航天与军事,pJNVZczbPLqvTZQM.mp3.srt
番外08,2022-08-17,Mixin 和区块链世界的乱弹,李俊、王老师、老庄,冯晓东,这期番外我们和 Mixin 的创始人冯晓东一起聊聊 Mixin 的初心和愿景，以及区块链世界里的种种……,开源；国际政治,XYTsukcWwXESxFqu.mp3.srt
